dir;test;tool;timeout;noUC
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/rozier/formulas/n4/P0.7/L50;P0.7N4L50_9;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/70;N30;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/70;N30;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/90;N43;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/90;N43;ltlfuc_bdd;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/forobots;forobotsr1f0_Gn_s1;trppp;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/forobots;forobotsr1f0_Gn_s1;ltlfuc_sat;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/forobots;forobotsr1f0_Gn_s1;ltlfuc_bdd;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_b_l;lift_b_l_8;trppp;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_b_l;lift_b_l_8;ltlfuc_sat;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_b_l;lift_b_l_8;ltlfuc_bdd;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_b_f;lift_b_f_14;trppp;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_b_f;lift_b_f_14;ltlfuc_sat;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_b_f;lift_b_f_14;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/50;N40;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/50;N40;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/90;N6;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/90;N6;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/40;N48;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/40;N48;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/10;N5;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/10;N5;ltlfuc_bdd;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/schuppan/phltl;phltl_20_19;trppp;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/schuppan/phltl;phltl_20_19;ltlfuc_sat;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/schuppan/phltl;phltl_20_19;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/80;N13;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/80;N13;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/10;N45;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/10;N45;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/70;N4;trppp;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/70;N4;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/70;N4;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/60;N5;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/60;N5;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/60;N25;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/60;N25;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/10;N37;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/10;N37;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/30;N5;trppp;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/30;N5;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/30;N5;ltlfuc_bdd;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/anzu/genbuf/genbuf_cl;spec_cl_3;trppp;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/anzu/genbuf/genbuf_cl;spec_cl_3;ltlfuc_sat;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/anzu/genbuf/genbuf_cl;spec_cl_3;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/80;N24;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/80;N24;ltlfuc_bdd;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/schuppan/phltl;phltl_40_39;trppp;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/schuppan/phltl;phltl_40_39;ltlfuc_sat;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/schuppan/phltl;phltl_40_39;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/100;N21;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/100;N21;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/20;N37;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/20;N37;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/30;N37;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/30;N37;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/40;N9;ltlfuc_sat;False;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/anzu/genbuf/genbuf;spec13.negated;trppp;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/anzu/genbuf/genbuf;spec13.negated;ltlfuc_sat;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/anzu/genbuf/genbuf;spec13.negated;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/50;N43;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/50;N43;ltlfuc_bdd;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/rozier/formulas/n2/P0.3/L60;P0.333333333333333N2L60_4;ltlfuc_sat;False;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/anzu/genbuf/genbuf_c;spec_c_16;trppp;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/anzu/genbuf/genbuf_c;spec_c_16;ltlfuc_sat;True;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/anzu/genbuf/genbuf_c;spec_c_16;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/70;N12;trppp;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/70;N12;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/70;N12;ltlfuc_bdd;True;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/20;N47;ltlfuc_sat;False;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/80;N34;ltlfuc_sat;False;True
